mutant_id,fraction_disordered,has_clash,iptm,ptm,ranking_score,pLDDT,ipLDDT,binding_score
mutant_0021,0.07,0.0,0.74,0.76,0.78,91.42241379310347,90.21194444444444,6.0
mutant_0022,0.07,0.0,0.41,0.53,0.48,88.75014629049114,86.27452991452991,6.0
mutant_0023,0.08,0.0,0.4,0.52,0.46,88.8399373040752,86.01934272300471,6.0
mutant_0024,0.08,0.0,0.77,0.78,0.81,91.60435736677114,90.92022935779816,7.016129497666967
mutant_0025,0.08,0.0,0.6,0.67,0.65,90.1109717868338,88.59637209302326,6.0
mutant_0026,0.08,0.0,0.76,0.77,0.8,91.82403343782653,91.01582568807338,6.0
mutant_0027,0.07,0.0,0.5,0.59,0.56,89.73038662486928,87.00479262672812,6.0
mutant_0028,0.08,0.0,0.71,0.73,0.76,91.26965517241379,90.2281220657277,6.0
mutant_0029,0.07,0.0,0.78,0.78,0.81,91.82463949843269,90.87251141552511,6.097034400174251
mutant_0030,0.08,0.0,0.77,0.78,0.81,91.54705329153613,91.11716279069766,7.100497415519855
mutant_0031,0.07,0.0,0.74,0.76,0.78,91.55997910135822,90.59553488372093,6.657541362268556
mutant_0032,0.08,0.0,0.71,0.73,0.75,90.99833855799372,89.93840375586853,6.0
mutant_0033,0.07,0.0,0.68,0.72,0.73,91.2252455590387,90.10371559633028,6.489972901781221
mutant_0034,0.07,0.0,0.54,0.61,0.59,89.84096133751314,87.31031818181819,6.0
mutant_0035,0.08,0.0,0.77,0.78,0.81,91.58563218390813,90.74447004608292,8.814028213242024
mutant_0036,0.08,0.0,0.77,0.78,0.81,91.6184639498433,90.7452336448598,6.0
mutant_0037,0.08,0.0,0.54,0.62,0.6,89.97183908045976,87.69995412844037,6.619131456159299
mutant_0038,0.07,0.0,0.69,0.71,0.73,90.42121212121219,88.17604444444444,7.162712156226884
mutant_0039,0.08,0.0,0.77,0.78,0.81,91.51446185997912,90.76249999999999,6.023259512147301
mutant_0040,0.08,0.0,0.77,0.78,0.81,91.5122570532915,90.80834905660377,7.878723928290481
mutant_0041,0.08,0.0,0.76,0.77,0.8,91.41053291536055,90.42146118721463,6.0
mutant_0042,0.07,0.0,0.49,0.57,0.54,88.88217345872515,85.52668122270742,6.0
mutant_0043,0.07,0.0,0.78,0.78,0.82,91.51574712643676,90.83546296296296,7.609494396801421
mutant_0044,0.08,0.0,0.77,0.78,0.81,91.4276802507836,90.71660465116278,6.700099923710217
mutant_0045,0.07,0.0,0.72,0.74,0.76,91.01258098223624,89.99769953051643,6.0
mutant_0046,0.07,0.0,0.78,0.78,0.81,91.66061650992684,90.68249999999999,6.95884965883775
mutant_0047,0.07,0.0,0.63,0.68,0.68,90.34838035527687,88.15786046511627,7.699606020578718
mutant_0048,0.07,0.0,0.46,0.56,0.51,89.27721003134799,86.4325,6.0
mutant_0049,0.08,0.0,0.64,0.69,0.69,90.7205538140021,90.08893203883495,6.0
mutant_0050,0.07,0.0,0.67,0.71,0.72,91.05944618599788,89.87600917431193,6.022360078727622
mutant_0051,0.07,0.0,0.76,0.77,0.8,91.36010449320784,90.53093023255815,7.554870696392027
mutant_0052,0.08,0.0,0.65,0.7,0.7,90.57644723092989,89.0167298578199,7.742340089320549
mutant_0053,0.07,0.0,0.67,0.71,0.71,91.08368861024044,89.57550458715596,6.0
mutant_0054,0.08,0.0,0.76,0.77,0.8,91.41411703239288,90.69334883720931,7.194827321846876
mutant_0055,0.07,0.0,0.68,0.72,0.72,91.15663531870415,90.0772018348624,6.0
mutant_0056,0.07,0.0,0.53,0.61,0.59,89.22515151515151,86.15123348017622,6.0
mutant_0057,0.08,0.0,0.72,0.74,0.77,90.55415882967617,89.37158878504671,6.0
mutant_0058,0.08,0.0,0.77,0.78,0.81,91.38507836990593,90.69747663551402,6.628889473175974
mutant_0059,0.07,0.0,0.41,0.53,0.47,88.74814002089856,86.56045081967213,6.0
mutant_0060,0.08,0.0,0.77,0.77,0.81,91.47910135841181,90.4824074074074,6.525289134725572
mutant_0061,0.08,0.0,0.68,0.72,0.73,90.56065830721016,88.55728110599078,6.604968494096435
mutant_0062,0.08,0.0,0.77,0.78,0.81,91.77543364681291,90.81790697674418,7.009607263025802
mutant_0063,0.07,0.0,0.43,0.54,0.49,88.79480668756534,86.14175925925926,6.0
mutant_0064,0.08,0.0,0.71,0.73,0.76,90.74708463949854,89.56785714285714,6.0
mutant_0065,0.08,0.0,0.77,0.78,0.81,91.50451410658304,90.6603196347032,6.0
mutant_0066,0.08,0.0,0.77,0.78,0.81,91.54063740856843,90.90488372093023,6.0
mutant_0067,0.08,0.0,0.77,0.78,0.81,91.4913270637408,90.88613953488374,6.700543087031249
mutant_0068,0.08,0.0,0.71,0.73,0.75,90.64518286311372,88.80189814814814,6.912794503371161
mutant_0069,0.08,0.0,0.77,0.78,0.81,91.6372936259144,91.22102325581393,6.183131585470773
mutant_0070,0.08,0.0,0.7,0.73,0.74,90.56688610240332,88.72110599078341,6.580855166183852
mutant_0071,0.08,0.0,0.76,0.77,0.8,91.4300731452455,90.51963133640554,8.526447124885438
mutant_0072,0.08,0.0,0.61,0.67,0.66,90.054315569488,88.5026046511628,6.0
mutant_0073,0.08,0.0,0.68,0.71,0.72,90.98847439916395,89.93244019138754,6.220449781911157
mutant_0074,0.08,0.0,0.61,0.68,0.66,90.17262277951937,88.70502304147465,6.334720606712767
mutant_0075,0.07,0.0,0.71,0.73,0.75,90.66039707419012,88.7794930875576,6.921486816993934
mutant_0076,0.08,0.0,0.77,0.78,0.81,91.44284221525609,90.72144186046512,7.38149346737999
mutant_0077,0.08,0.0,0.65,0.69,0.7,90.70739811912235,89.8670243902439,6.0
mutant_0078,0.08,0.0,0.7,0.72,0.74,90.4270428422153,88.9390566037736,6.785645709406506
mutant_0079,0.07,0.0,0.76,0.77,0.79,91.36638453500537,90.54176744186049,7.561466390669158
mutant_0080,0.08,0.0,0.77,0.78,0.81,91.57764890282131,90.83683486238532,6.90179291328366
mutant_0081,0.07,0.0,0.67,0.71,0.71,90.72113897596661,89.23113207547168,7.515388026888536
mutant_0082,0.08,0.0,0.77,0.78,0.81,91.52586206896548,90.89297674418607,6.282084331553477
mutant_0083,0.08,0.0,0.7,0.72,0.74,91.09260188087774,90.60724137931037,6.0
mutant_0084,0.07,0.0,0.76,0.77,0.8,91.33062695924771,90.40717592592593,6.0
mutant_0085,0.07,0.0,0.76,0.77,0.8,91.3974608150471,90.57497674418606,7.720786603583401
mutant_0086,0.08,0.0,0.72,0.73,0.76,91.09959247648897,90.25703883495146,6.0
mutant_0087,0.07,0.0,0.76,0.77,0.8,91.33419017763855,90.51575471698115,6.742534057738099
mutant_0088,0.08,0.0,0.72,0.74,0.76,90.70367816091961,88.82023041474653,6.069627642733895
mutant_0089,0.07,0.0,0.66,0.7,0.7,90.99578892371991,89.6227777777778,6.0
mutant_0090,0.07,0.0,0.42,0.52,0.47,88.86505747126431,86.02594594594592,6.0
mutant_0091,0.08,0.0,0.77,0.78,0.81,91.60638453500515,90.54454128440366,6.0
mutant_0092,0.07,0.0,0.66,0.71,0.71,90.21620689655184,88.9558256880734,6.0
mutant_0093,0.08,0.0,0.77,0.78,0.81,91.60600835945658,90.8795852534562,6.990620892244014
mutant_0094,0.07,0.0,0.76,0.77,0.8,91.21634273772206,90.2887037037037,6.079047337708475
mutant_0095,0.07,0.0,0.55,0.63,0.61,90.19245559038652,87.79045248868779,6.0
mutant_0096,0.07,0.0,0.77,0.77,0.8,91.67202716823412,90.52750000000002,8.213895028792704
mutant_0097,0.08,0.0,0.68,0.72,0.73,90.52880877742935,88.6412558139535,8.599817126684597
mutant_0098,0.07,0.0,0.48,0.57,0.53,89.41736677115989,86.52967441860464,6.0
mutant_0099,0.08,0.0,0.46,0.56,0.52,88.98433646812964,86.44072072072072,6.0
mutant_0100,0.07,0.0,0.71,0.73,0.75,90.99083594566346,89.90248826291081,6.0
mutant_0101,0.08,0.0,0.77,0.78,0.81,91.53983281086735,90.62456221198156,7.965276197193603
mutant_0102,0.07,0.0,0.59,0.66,0.64,90.13840125391847,88.13550925925927,6.0
mutant_0103,0.07,0.0,0.69,0.72,0.73,91.44685475444088,90.47581395348837,6.931243563236724
mutant_0104,0.07,0.0,0.68,0.72,0.73,91.26443051201663,90.1232093023256,6.564479794726505
mutant_0105,0.07,0.0,0.43,0.53,0.49,89.03485893416926,85.9632075471698,6.0
mutant_0106,0.08,0.0,0.75,0.77,0.79,91.23959247648882,90.29467592592593,7.614946539954037
mutant_0107,0.08,0.0,0.77,0.78,0.81,91.60028213166143,90.72539534883722,6.0
mutant_0108,0.08,0.0,0.67,0.7,0.72,90.56385579937312,89.42911764705883,7.766364896496658
mutant_0109,0.07,0.0,0.77,0.78,0.81,91.75864158829677,90.90822727272726,6.966637594810101
mutant_0110,0.08,0.0,0.77,0.78,0.81,91.62811912225702,90.90706422018347,6.961913041084844
mutant_0111,0.07,0.0,0.56,0.62,0.61,89.95693834900736,88.11611111111112,6.0
mutant_0112,0.08,0.0,0.76,0.77,0.8,91.48125391849521,90.87189814814816,8.193418101811249
mutant_0113,0.07,0.0,0.52,0.6,0.57,89.85224660397061,87.24659090909091,6.0
mutant_0114,0.08,0.0,0.77,0.78,0.81,91.63722048066887,90.63372093023256,6.75738724889828
mutant_0115,0.08,0.0,0.76,0.77,0.8,91.68386624869387,90.76307339449541,7.478614274107326
mutant_0116,0.08,0.0,0.78,0.78,0.82,91.55754440961334,90.72738532110091,7.902540108663518
mutant_0117,0.07,0.0,0.43,0.54,0.49,88.91285266457677,86.22340807174888,6.0
mutant_0118,0.07,0.0,0.58,0.65,0.63,89.8528108672935,87.90893023255813,6.0
mutant_0119,0.08,0.0,0.77,0.78,0.81,91.62907001044927,90.82596330275229,7.307699395693646
mutant_0120,0.07,0.0,0.44,0.55,0.5,88.38881922675026,84.76284444444444,6.0
mutant_0121,0.08,0.0,0.78,0.79,0.82,91.65110762800424,90.7245909090909,6.0
mutant_0122,0.08,0.0,0.76,0.77,0.8,91.50145245559034,90.53866972477064,6.0
mutant_0123,0.07,0.0,0.76,0.77,0.8,91.43402298850573,90.70827906976744,7.614387407744538
mutant_0124,0.07,0.0,0.48,0.57,0.53,88.8949738766979,85.70478260869565,6.0
mutant_0125,0.07,0.0,0.71,0.73,0.75,91.13875653082532,89.62413953488374,6.0
mutant_0126,0.08,0.0,0.7,0.72,0.74,91.18778474399173,90.8271359223301,6.0
mutant_0127,0.08,0.0,0.77,0.78,0.81,91.40426332288393,90.7319248826291,6.884418035432913
mutant_0128,0.07,0.0,0.64,0.69,0.69,90.780344827586,89.36558139534883,6.0
mutant_0129,0.08,0.0,0.71,0.73,0.75,91.02454545454546,89.97347417840375,6.0
mutant_0130,0.07,0.0,0.74,0.76,0.78,91.50725182863106,90.39222222222223,6.0
mutant_0131,0.08,0.0,0.77,0.78,0.81,91.5131556948798,90.48716894977169,6.813252698447232
mutant_0132,0.08,0.0,0.66,0.7,0.7,90.23493207941495,88.68582938388626,7.616461550330523
mutant_0133,0.07,0.0,0.66,0.71,0.71,91.0662486938349,89.8983870967742,6.0
mutant_0134,0.07,0.0,0.68,0.72,0.73,91.30711598746086,90.25729357798166,6.0
mutant_0135,0.07,0.0,0.76,0.77,0.8,91.26669801462897,90.34714285714287,6.15796459437941
mutant_0136,0.07,0.0,0.52,0.61,0.58,90.1142946708465,88.45929906542057,6.0
mutant_0137,0.08,0.0,0.66,0.7,0.7,90.30195402298874,88.74495327102802,6.0
mutant_0138,0.07,0.0,0.66,0.7,0.71,91.07404388714721,89.7930985915493,6.0
mutant_0139,0.08,0.0,0.51,0.6,0.56,89.65168234064787,88.10629807692308,6.358073631496967
mutant_0140,0.07,0.0,0.61,0.67,0.66,90.65919540229861,88.93628440366973,6.0
mutant_0141,0.07,0.0,0.73,0.75,0.77,90.97689655172415,89.37300925925926,6.0
mutant_0142,0.08,0.0,0.77,0.78,0.81,91.50561128526641,90.56516279069767,8.74987232403544
mutant_0143,0.07,0.0,0.77,0.78,0.81,91.55900731452462,90.70299539170506,7.973976933340115
mutant_0144,0.07,0.0,0.76,0.77,0.8,91.38127481713708,90.60037209302327,7.584714823572654
mutant_0145,0.07,0.0,0.7,0.72,0.74,91.0428631138976,89.53273148148148,6.0
mutant_0146,0.08,0.0,0.74,0.75,0.78,91.13301985370956,89.81204651162791,6.0
mutant_0147,0.08,0.0,0.77,0.77,0.81,91.77241379310342,91.3843661971831,8.381427712188412
mutant_0148,0.07,0.0,0.47,0.56,0.53,89.660762800418,87.0356542056075,6.0
mutant_0149,0.07,0.0,0.75,0.76,0.79,91.29340647857879,90.43841121495325,7.060746777409867
mutant_0150,0.07,0.0,0.61,0.67,0.66,90.58501567398135,88.69296803652969,6.0
mutant_0151,0.07,0.0,0.42,0.53,0.48,88.89446185997909,86.17171945701357,6.0
mutant_0152,0.08,0.0,0.68,0.72,0.73,91.30013584117027,91.13300492610837,6.0
mutant_0153,0.07,0.0,0.55,0.63,0.6,89.63719958202728,86.88364864864865,6.0
mutant_0154,0.07,0.0,0.65,0.7,0.7,90.96537095088816,89.61023148148149,6.221153941223124
mutant_0155,0.07,0.0,0.56,0.63,0.61,89.76287356321829,87.20819819819819,6.0
mutant_0156,0.07,0.0,0.59,0.66,0.64,90.10810867293621,88.05141552511414,6.0
mutant_0157,0.07,0.0,0.68,0.71,0.72,91.11018808777423,89.69227906976747,6.0
mutant_0158,0.08,0.0,0.77,0.78,0.81,91.62781609195395,90.82798165137615,7.393452585571741
mutant_0159,0.08,0.0,0.75,0.76,0.79,91.55474399164062,91.06953051643193,6.0
mutant_0160,0.08,0.0,0.61,0.67,0.66,90.17448275862087,88.75580645161291,6.0
mutant_0161,0.08,0.0,0.67,0.7,0.72,90.9263009404389,89.89134615384616,6.0
mutant_0162,0.08,0.0,0.77,0.78,0.81,91.65739811912225,90.89615023474181,7.903024744100354
mutant_0163,0.07,0.0,0.68,0.71,0.73,91.0002507836989,90.09634615384616,6.384400977018764
mutant_0164,0.08,0.0,0.65,0.7,0.7,89.99984326018813,88.13046296296297,6.192965329264813
mutant_0165,0.08,0.0,0.77,0.78,0.81,91.47061650992693,90.77248847926268,6.788182490374549
mutant_0166,0.07,0.0,0.76,0.77,0.8,91.27975966562177,90.40717592592591,6.0
mutant_0167,0.07,0.0,0.73,0.74,0.76,91.28699059561123,89.8804524886878,6.003750073387459
mutant_0168,0.07,0.0,0.53,0.61,0.58,89.56191222570529,86.84686363636364,6.0
mutant_0169,0.08,0.0,0.67,0.71,0.72,90.35560083594564,88.81330143540671,7.909081104540487
mutant_0170,0.07,0.0,0.74,0.75,0.78,90.76709508881922,89.08351851851852,6.0
mutant_0171,0.08,0.0,0.72,0.74,0.76,91.08852664576807,89.89806451612903,6.0
mutant_0172,0.07,0.0,0.52,0.6,0.57,89.80060606060606,87.38321266968327,6.414611801674837
mutant_0173,0.08,0.0,0.69,0.72,0.74,90.45749216300935,88.99896226415093,6.70140795215453
mutant_0174,0.07,0.0,0.63,0.69,0.67,89.76689655172424,87.16553571428572,6.0
mutant_0175,0.08,0.0,0.77,0.78,0.81,91.50065830721009,90.64566820276498,8.25649288968578
mutant_0176,0.08,0.0,0.65,0.7,0.7,91.43997910135828,90.94365853658537,7.024492825974471
mutant_0177,0.08,0.0,0.71,0.73,0.75,90.65112852664589,88.81581395348837,6.0
mutant_0178,0.08,0.0,0.72,0.73,0.76,91.1457157784744,90.61490476190475,6.0
mutant_0179,0.08,0.0,0.66,0.7,0.7,90.78407523510978,89.69500000000001,6.0
mutant_0180,0.08,0.0,0.76,0.77,0.8,91.47594566353203,90.46403669724772,6.0
mutant_0181,0.08,0.0,0.77,0.78,0.81,91.61484848484854,90.7955707762557,6.0
mutant_0182,0.07,0.0,0.67,0.72,0.72,91.17833855799361,89.76143518518519,6.022608908208244
mutant_0183,0.08,0.0,0.77,0.78,0.81,91.63154649947754,90.87023041474654,7.506266021551942
mutant_0184,0.07,0.0,0.7,0.73,0.74,90.56626959247637,88.79347222222222,7.072385045193566
mutant_0185,0.07,0.0,0.77,0.77,0.8,91.75513061651,90.916267281106,7.362518543490652
mutant_0186,0.07,0.0,0.75,0.76,0.79,91.13334378265407,90.09774193548387,6.0
mutant_0187,0.07,0.0,0.55,0.63,0.6,89.84317659352138,87.20684444444444,6.0
mutant_0188,0.08,0.0,0.77,0.78,0.81,91.45337513061641,90.69083720930233,6.693954218110572
mutant_0189,0.07,0.0,0.69,0.73,0.74,90.95602925809821,90.16279411764705,6.0
mutant_0190,0.08,0.0,0.77,0.78,0.81,91.61825496342743,90.83660550458714,7.094754361192543
mutant_0191,0.07,0.0,0.52,0.6,0.57,89.52999999999993,86.84710280373831,6.475075834138411
mutant_0192,0.08,0.0,0.77,0.78,0.81,91.46480668756534,90.78415887850466,7.372382708892861
mutant_0193,0.07,0.0,0.78,0.78,0.81,91.67124346917454,90.6873271889401,6.886594428435097
mutant_0194,0.07,0.0,0.72,0.74,0.76,90.81092998955073,89.2300930232558,6.0
mutant_0195,0.07,0.0,0.52,0.6,0.57,89.2135005224661,86.34193548387097,6.015903265097812
mutant_0196,0.08,0.0,0.77,0.78,0.81,91.64106583072105,91.61071428571428,7.759300794485212
mutant_0197,0.08,0.0,0.77,0.77,0.8,91.69723092998963,90.71990783410139,7.383968024739403
mutant_0198,0.08,0.0,0.77,0.78,0.81,91.5787147335422,90.71068493150685,6.0
mutant_0199,0.07,0.0,0.76,0.77,0.8,91.29486938349004,90.38064814814815,6.421906126212491
mutant_0200,0.07,0.0,0.4,0.51,0.45,87.83972831765935,85.01103734439832,6.0
mutant_0201,0.07,0.0,0.77,0.78,0.81,91.4629780564265,90.8383644859813,6.0
mutant_0202,0.08,0.0,0.44,0.54,0.5,89.22549634273769,86.4500462962963,6.440818896551872
mutant_0203,0.07,0.0,0.77,0.78,0.81,91.77970741901787,91.01884792626728,6.453504237637539
mutant_0204,0.08,0.0,0.77,0.78,0.81,91.55140020898642,90.66953917050692,7.122480522415906
mutant_0205,0.07,0.0,0.49,0.58,0.55,88.92134796238254,85.68152838427947,6.0
mutant_0206,0.08,0.0,0.78,0.78,0.82,91.86103448275865,91.3294685990338,6.808285309333198
mutant_0207,0.08,0.0,0.75,0.77,0.79,91.48491118077328,90.57800925925925,6.0
mutant_0208,0.08,0.0,0.41,0.52,0.47,88.87709508881922,85.62425925925926,6.0
mutant_0209,0.07,0.0,0.72,0.74,0.76,90.85393939393936,89.15796296296296,6.0
mutant_0210,0.08,0.0,0.73,0.74,0.77,90.99527690700113,89.92208530805688,6.0
mutant_0211,0.08,0.0,0.71,0.73,0.75,90.61400208986426,88.70944700460828,8.614877720002012
mutant_0212,0.08,0.0,0.69,0.71,0.73,90.93065830720988,90.35578947368421,6.0
mutant_0213,0.08,0.0,0.69,0.71,0.73,90.82800417972838,89.74456730769231,6.0
mutant_0214,0.07,0.0,0.7,0.73,0.74,91.32563218390811,90.26648401826485,6.0
mutant_0215,0.08,0.0,0.68,0.72,0.72,90.48393939393948,88.53004629629629,7.051763552332781
mutant_0216,0.08,0.0,0.77,0.78,0.81,91.50793103448284,90.61365740740742,7.692981178725908
mutant_0217,0.07,0.0,0.52,0.59,0.57,89.88074190177639,87.4889592760181,6.0
mutant_0218,0.07,0.0,0.54,0.62,0.59,89.2590177638453,86.46008968609866,6.0
mutant_0219,0.07,0.0,0.78,0.78,0.82,91.86761755485895,91.04990783410139,7.014766592538114
mutant_0220,0.08,0.0,0.77,0.78,0.81,91.60992685475448,90.85078703703705,6.88613811319874
mutant_0221,0.07,0.0,0.72,0.74,0.76,90.57526645768013,88.77240740740739,6.0
mutant_0222,0.07,0.0,0.7,0.72,0.74,90.91947753396016,89.39014084507042,7.034300687906107
mutant_0223,0.08,0.0,0.68,0.71,0.72,90.85373040752341,89.88727699530516,6.021434229423328
mutant_0224,0.07,0.0,0.7,0.73,0.75,91.20792058516196,89.8620737327189,6.402918194808485
mutant_0225,0.08,0.0,0.7,0.73,0.74,90.49632183908055,88.51829493087558,6.917229918138294
mutant_0226,0.07,0.0,0.71,0.73,0.75,90.46749216300925,88.64778801843318,6.0
mutant_0227,0.08,0.0,0.78,0.79,0.82,91.66067920585161,90.89328767123287,7.087852739902005
mutant_0228,0.07,0.0,0.53,0.6,0.58,89.9182027168235,87.46735426008969,6.0
mutant_0229,0.07,0.0,0.56,0.63,0.61,89.36653082549628,86.34088105726875,6.0
mutant_0230,0.08,0.0,0.77,0.78,0.81,91.71852664576805,90.9198611111111,6.683319860752611
mutant_0231,0.07,0.0,0.5,0.58,0.55,89.34811912225706,86.20026548672567,6.556985605884603
mutant_0232,0.07,0.0,0.67,0.71,0.72,91.14732497387661,89.76803738317757,6.627711872822555
mutant_0233,0.07,0.0,0.73,0.75,0.77,90.67067920585154,88.89732718894008,6.0
mutant_0234,0.07,0.0,0.69,0.73,0.73,91.2402925809822,89.95438356164385,6.028982106321254
mutant_0235,0.07,0.0,0.76,0.77,0.8,91.45533960292578,90.70616822429905,7.158490042431336
mutant_0236,0.07,0.0,0.7,0.74,0.75,91.37664576802497,90.34625570776255,6.0
mutant_0237,0.07,0.0,0.67,0.71,0.72,90.3479623824452,88.32824074074075,6.641809444205568
mutant_0238,0.08,0.0,0.77,0.78,0.81,91.60041797283172,90.77752293577981,7.059590378301608
mutant_0239,0.07,0.0,0.45,0.55,0.51,89.13333333333331,86.5504147465438,6.0
mutant_0240,0.08,0.0,0.43,0.53,0.49,88.906342737722,86.81393364928911,6.0
mutant_0241,0.08,0.0,0.77,0.78,0.81,91.54280041797283,90.63093457943926,7.821449260905254
mutant_0242,0.08,0.0,0.77,0.78,0.81,91.89323928944619,91.93,6.0
mutant_0243,0.08,0.0,0.69,0.72,0.74,90.75084639498434,89.14688073394495,6.0
mutant_0244,0.07,0.0,0.55,0.63,0.61,89.66297805642645,86.97210762331838,6.06535806005657
mutant_0245,0.08,0.0,0.77,0.78,0.81,91.5917241379309,90.75198156682028,8.788717956960786
mutant_0246,0.08,0.0,0.77,0.78,0.81,91.6220480668756,90.7979534883721,6.0
mutant_0247,0.08,0.0,0.64,0.69,0.69,90.59065830720988,89.43423255813954,6.0
mutant_0248,0.08,0.0,0.67,0.71,0.71,89.81570532915357,87.41206572769956,7.455001744235999
mutant_0249,0.08,0.0,0.77,0.78,0.81,91.58285266457668,91.0324537037037,6.0
mutant_0250,0.08,0.0,0.71,0.73,0.76,90.80797283176605,89.7857075471698,6.0
mutant_0251,0.07,0.0,0.68,0.72,0.73,91.15192267502623,90.02365296803653,6.424100391692161
mutant_0252,0.08,0.0,0.69,0.72,0.73,90.4941797283176,89.14341121495328,6.0
mutant_0253,0.07,0.0,0.67,0.72,0.72,90.42579937304066,88.5354672897196,6.927678584711932
mutant_0254,0.07,0.0,0.62,0.68,0.67,90.17859979101364,87.80467592592593,7.836639266227006
mutant_0255,0.07,0.0,0.72,0.74,0.76,91.2370323928943,89.95606481481482,6.0
mutant_0256,0.08,0.0,0.78,0.78,0.82,91.65607105538135,90.96055555555556,6.0
mutant_0257,0.08,0.0,0.77,0.78,0.81,91.39839080459758,90.33129629629629,6.790346430109797
mutant_0258,0.07,0.0,0.66,0.7,0.71,91.00164054336469,89.74939534883723,6.0
mutant_0259,0.07,0.0,0.46,0.56,0.51,89.3943573667712,86.62518348623854,6.0
mutant_0260,0.08,0.0,0.69,0.72,0.73,90.31984326018805,88.86180094786732,7.827619928732607
mutant_0261,0.07,0.0,0.61,0.67,0.66,90.58799373040755,88.74652777777777,6.0
mutant_0262,0.07,0.0,0.7,0.73,0.74,91.13998955067913,89.76842342342344,6.034803683639759
mutant_0263,0.08,0.0,0.72,0.73,0.76,91.14323928944621,90.60952380952381,6.0
mutant_0264,0.07,0.0,0.67,0.72,0.72,91.11004179728312,89.67245370370371,6.0
mutant_0265,0.07,0.0,0.64,0.69,0.69,89.75723092998943,86.73366972477065,6.829845805319027
mutant_0266,0.07,0.0,0.64,0.69,0.68,90.56572622779508,88.85286363636362,6.0
mutant_0267,0.08,0.0,0.77,0.78,0.81,91.54892371995813,90.81158139534887,6.896484308223916
mutant_0268,0.07,0.0,0.68,0.72,0.73,91.13875653082535,89.82272727272728,6.0
mutant_0269,0.07,0.0,0.59,0.66,0.64,90.41835945663536,88.80260663507109,6.0
mutant_0270,0.07,0.0,0.41,0.52,0.47,88.70026123301986,85.90744075829383,6.0
mutant_0271,0.07,0.0,0.42,0.54,0.48,89.03850574712637,86.35870967741934,6.0
mutant_0272,0.08,0.0,0.67,0.71,0.72,90.48986415882975,89.22752336448599,6.426082676828301
mutant_0273,0.08,0.0,0.75,0.76,0.79,91.33389759665609,90.06815165876776,6.30607169945348
mutant_0274,0.08,0.0,0.76,0.77,0.8,91.6979414838035,90.68462962962964,8.193436329568208
mutant_0275,0.07,0.0,0.62,0.67,0.67,90.59991640543375,88.79927272727271,6.0
mutant_0276,0.08,0.0,0.44,0.55,0.5,88.56525600835951,86.23189075630252,6.0
mutant_0277,0.08,0.0,0.77,0.78,0.81,91.35263322884028,90.67467889908258,6.799256608073777
mutant_0278,0.08,0.0,0.43,0.54,0.49,88.86763845350045,86.05694835680754,6.0
mutant_0279,0.08,0.0,0.77,0.78,0.81,91.48532915360504,90.54188073394494,7.026546242277742
mutant_0280,0.08,0.0,0.7,0.73,0.74,90.51062695924774,88.6664055299539,7.803450269189562
mutant_0281,0.07,0.0,0.72,0.74,0.76,90.7735736677116,89.0599539170507,6.324833381018244
mutant_0282,0.08,0.0,0.77,0.78,0.81,91.56905956112854,90.7125,7.964744176536771
